"","ID","IMEI","Name","Версия ПО","Версия настроек","Дилер"," "
"","10101","012207001032728","AutoLink","105","10101","2",""
"","10102","012207001049029","AutoLink","62","10102","2",""
"","10103","012207001027652","AutoLink","62","10103","2",""
"","10104","012207000998093","AutoLink","62","10104","2",""
"","10105","012207001049243","AutoLink","62","10105","127",""
"","10106","012207001032942","AutoLink","62","10106","13",""
"","10107","012207001032678","AutoLink","105","10107","2",""
"","10108","012207001049508","AutoLink","62","10108","13",""
"","10109","012207001034567","AutoLink","62","10109","2",""
"","10110","012207001035085","AutoLink","163","10110","2",""
"","10111","012207001035051","AutoLink","159","10111","174",""
"","10112","012207001034542","AutoLink","62","10112","4",""
"","10113","012207000990603","AutoLink","87","10113","2",""
"","10114","012207001011938","AutoLink","64","10114","2",""
"","10115","012207001029740","AutoLink","62","10115","2",""
"","10116","012207001012407","AutoLink","87","10116","2",""
"","10117","012207000998465","AutoLink","62","10117","4",""
"","10118","012207001075479","AutoLink","62","10118","2",""
"","10119","012207000990520","AutoLink","62","10119","13",""
"","10120","012207001012340","AutoLink","62","10120","2",""
